name,on_github,on_local,fork,gh_default_branch,gh_last_pushed,local_path,local_branch,local_commit_date,local_commit_hash,sync_status,source_of_truth,description
Posh-ACME,Yes,No,Yes,master,2020-03-10T00:31:43Z,,,,,GitHub only,GitHub,ACME v2 protocol client for generating certificates using Let's Encrypt (or othe
RAGinDSPy,Yes,No,No,main,2025-10-29T22:29:18Z,,,,,GitHub only,GitHub,DSPy framework recipes for building RAG applications - extracted from weaviate/r
repo_updater,Yes,No,Yes,main,2026-01-24T07:57:12Z,,,,,GitHub only,GitHub,"A beautiful, automation-friendly CLI for synchronizing GitHub repositories. Keep"
RudderPositionViaComputerVision,Yes,No,No,master,2020-04-02T20:25:55Z,,,,,GitHub only,GitHub,
schwab-py,Yes,No,Yes,main,2024-09-14T11:29:43Z,,,,,GitHub only,GitHub,Unofficial API wrapper for the upcoming Schwab HTTP API 
server,Yes,No,Yes,main,2025-04-25T20:25:19Z,,,,,GitHub only,GitHub,"Bitwarden infrastructure/backend (API, database, Docker, etc)."
Skill_Seekers,Yes,No,Yes,development,2025-12-30T09:10:41Z,,,,,GitHub only,GitHub,Single powerful tool to convert ANY documentation website into a Claude skill
SteerageForMyBoat,Yes,No,No,master,2020-01-23T01:26:35Z,,,,,GitHub only,GitHub,Towards a dedicated hydrualic system where digital input at the helm is transpos
Steve-s_Sites,Yes,Yes,No,master,2026-01-25T13:03:47Z,/mnt/c/myStuff/Steve-s_Sites,master,2026-01-24 17:23:54 -0600,a49a7096,Present in both,GitHub,
Substrate,Yes,Yes,Yes,main,2025-12-10T22:40:33Z,/mnt/c/myStuff/Substrate,main,2025-12-10 14:40:25 -0800,9a181ae4,Present in both,GitHub,"An Open-source Framework for Human Understanding, Meaning, and Progress."
superpowers,Yes,No,Yes,main,2026-01-25T18:00:53Z,,,,,GitHub only,GitHub,An agentic skills framework & software development methodology that works.
Telos,Yes,Yes,Yes,main,2025-11-09T11:05:06Z,/mnt/c/myStuff/Telos,main,2025-11-09 03:04:13 -0800,c805a983,Present in both,GitHub,Telos is an open-sourced framework for creating Deep Context about things that m
tesseract,Yes,No,Yes,main,2025-10-09T16:14:28Z,,,,,GitHub only,GitHub,Tesseract Open Source OCR Engine (main repository)
tradestation-py,Yes,No,No,main,2024-12-14T19:47:19Z,,,,,GitHub only,GitHub,
ts-api,Yes,No,Yes,main,2025-01-05T12:25:08Z,,,,,GitHub only,GitHub,An unofficial wrapper for the TradeStation API.
ts-trades,Yes,No,No,main,2025-06-12T17:03:44Z,,,,,GitHub only,GitHub,
voicemode,Yes,No,Yes,master,2025-10-21T23:54:34Z,,,,,GitHub only,GitHub,VoiceMode MCP brings natural conversations to Claude Code
vuestic,Yes,No,No,main,2024-04-03T23:26:54Z,,,,,GitHub only,GitHub,
wsl-4-claude,Yes,No,No,main,2025-10-12T16:05:53Z,,,,,GitHub only,GitHub,A best known configuration for WSL environments optimized for Claude Code and Gi
XState-Skill,Yes,No,No,main,2025-10-29T22:29:32Z,,,,,GitHub only,GitHub,Claude Code skill for XState v5 - state management and orchestration with state 
YOLODocker,Yes,No,No,master,2025-10-24T12:39:56Z,,,,,GitHub only,GitHub,Run Claude Code inside Docker to safely YOLO.
